Field,M.1,M.2,M.3,M.4,M.5,M.6,M.7,A.1,A.2,A.3,M.4,F.1,F.2,F.3,F.4,F.5,F.6,F.7,F.8,F.9,F.10,S.1,S.2,S.3,S.4,S.5,S.6,S.7,S.8,S.9,S.10,C.1,C.2,C.3,C.4,C.5,C.6,T.1,U.1,T.2,T.3,T.4,T.5,T.6,T.7,T.8,T.9,T.10,T.11,T.12,T.13,T.14,T.15,T.16,T.17,T.18,T.19,T.20,T.21,T.22,T.23,T.24,T.25,T.26,T.27,T.28,T.29,T.30,T.31,L.1,L.2,L.3,L.4,L.5,L.6,L.7,L.8,L.9,L.10,QT
Enable,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,Y,Y,N,N,N,N,N,N,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,Y,Y,Y,Y,Y,Y,N,N,N,N,Y,Y
Show,Y,Y,Y,Y,N,Y,N,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,Y,N,Y,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y
Source / Formula,,,,,,,,FETCH,FETCH,FETCH,,CALCULATE,,,,,,,,,,,,CALCULATE,,,,,,,,CALCULATE,,CALCULATE,,,CALCULATE,,<USER INPUT>,CALCULATE,,CALCULATE,,CALCULATE,,CALCULATE,,CALCULATE,,CALCULATE,,CALCULATE,,CALCULATE,,,CALCULATE,CALCULATE,CALCULATE,,,CALCULATE,CALCULATE,,,,,,CALCULATE,,,,,,,,,,CALCULATE,CALCULATE
Field Name,Brand,Model,Grade,Year,Engine Type,Engine,HS Code,Purchase Price,Currency,Currency Rate,Country of Origin,Auction Price LKR,Handling Fee,Transport,Inspection Fee,Insurance Fee,<BLANK>,<BLANK>,<BLANK>,<BLANK>,<BLANK>,Size,Rate,Freight Cost,Insurance Fee,<BLANK>,<BLANK>,<BLANK>,<BLANK>,<BLANK>,<BLANK>,CIF,Yellow Book Value,Yellow Book Value LKR,YB + Shipping & Insurance,<BLANK>,Custom CIF Base,Excise Duty Rate,Permit Value,Excise Duty (XID),CID Rate,CID,CID Surcharge Rate,CID Surcharge,PAL Rate,PAL,CESS Rate,CESS,<BLANK RATE>,<BLANK>,<BLANK RATE>,<BLANK>,<BLANK RATE>,<BLANK>,VAT CIF Factor,VAT Rate,VAT CIF Base,VAT Base,VAT,Luxury Tax Threshold,Luxury Tax Rate,Luxury Tax Base,LXT,VEL,EXM,<BLANK>,<BLANK>,<BLANK>,Total Duty,Bank Fee,Clearing Fee,Transport Fee,Commission,Facilitation Fee,Wash/Vacuum/Wax,<BLANK>,<BLANK>,<BLANK>,Service Chargers,Total Cost
1,Toyota,Aqua,X,2023,Patrol Hybrid,1499,8703.40.35,"3,250,000",JPY,1.9333,Japan,"6,283,225",10000,3000,12500,500,0,0,0,0,0,1,"125,000","125,000","40,000",,,,,,,"6,652,485","3,000,000","5,799,900","75,000",,"5,874,900","3,450",0,"5,171,550",20%,"1,174,980",10%,"587,490",0%,0,0%,0,0%,0,0%,0,0%,0,110%,18%,"6,462,390","12,808,920","2,305,606","5,500,000",80%,"374,900","299,920","15,000","1,750",,,,"4,384,746",125000,40000,25000,25000,100000,5000,,,,320000,"11,357,231"
2,Toyota,Aqua,X,2024,Patrol Hybrid,1499,8703.40.35,"3,650,000",JPY,1.9333,Japan,"7,056,545",10000,3000,12500,500,0,0,0,0,0,1,"125,000","125,000","40,000",,,,,,,"7,425,805","3,000,000","5,799,900","75,000",,"5,874,900","3,450",0,"5,171,550",20%,"1,174,980",10%,"587,490",0%,0,0%,0,0%,0,0%,0,0%,0,110%,18%,"6,462,390","12,808,920","2,305,606","5,500,000",80%,"374,900","299,920","15,000","1,750",,,,"4,384,746",125000,40000,25000,25000,100000,5000,,,,320000,"12,130,551"
3,Toyota,Aqua,X,2025,Patrol Hybrid,1499,8703.40.35,"3,500,000",JPY,1.9333,Japan,"6,766,550",10000,3000,12500,500,0,0,0,0,0,1,"125,000","125,000","40,000",,,,,,,"7,135,810","3,000,000","5,799,900","75,000",,"5,874,900","3,450",0,"5,171,550",20%,"1,174,980",10%,"587,490",0%,0,0%,0,0%,0,0%,0,0%,0,110%,18%,"6,462,390","12,808,920","2,305,606","5,500,000",80%,"374,900","299,920","15,000","1,750",,,,"4,384,746",125000,40000,25000,25000,100000,5000,,,,320000,"11,840,556"
4,Toyota,Aqua,G,2024,Patrol Hybrid,1499,8703.40.35,"3,500,000",JPY,1.9333,Japan,"6,766,550",10000,3000,12500,500,0,0,0,0,0,1,"125,000","125,000","40,000",,,,,,,"7,135,810","3,000,000","5,799,900","75,000",,"5,874,900","3,450",0,"5,171,550",20%,"1,174,980",10%,"587,490",0%,0,0%,0,0%,0,0%,0,0%,0,110%,18%,"6,462,390","12,808,920","2,305,606","5,500,000",80%,"374,900","299,920","15,000","1,750",,,,"4,384,746",125000,40000,25000,25000,100000,5000,,,,320000,"11,840,556"
5,Toyota,Aqua,GR,2024,Patrol Hybrid,1499,8703.40.35,"3,500,000",JPY,1.9333,Japan,"6,766,550",10000,3000,12500,500,0,0,0,0,0,1,"125,000","125,000","40,000",,,,,,,"7,135,810","3,000,000","5,799,900","75,000",,"5,874,900","3,450",0,"5,171,550",20%,"1,174,980",10%,"587,490",0%,0,0%,0,0%,0,0%,0,0%,0,110%,18%,"6,462,390","12,808,920","2,305,606","5,500,000",80%,"374,900","299,920","15,000","1,750",,,,"4,384,746",125000,40000,25000,25000,100000,5000,,,,320000,"11,840,556"
6,Nissan,Leaf,X,2024,Electric,75,8703.50.50,"3,500,000",JPY,1.9333,Japan,"6,766,550",10000,3000,12500,500,0,0,0,0,0,1,"125,000","125,000","40,000",,,,,,,"7,135,810","3,000,000","5,799,900","75,000",,"5,874,900","3,450",0,"258,750",20%,"1,174,980",10%,"587,490",0%,0,0%,0,0%,0,0%,0,0%,0,110%,18%,"6,462,390","7,896,120","1,421,302","5,500,000",80%,"374,900","299,920","15,000","1,750",,,,"3,500,442",125000,40000,25000,25000,100000,5000,,,,320000,"10,956,252"
7,Nissan,Leaf,G,2024,Electric,75,8703.50.50,"3,500,000",JPY,1.9333,Japan,"6,766,550",10000,3000,12500,500,0,0,0,0,0,1,"125,000","125,000","40,000",,,,,,,"7,135,810","3,000,000","5,799,900","75,000",,"5,874,900","3,450",0,"258,750",20%,"1,174,980",10%,"587,490",0%,0,0%,0,0%,0,0%,0,0%,0,110%,18%,"6,462,390","7,896,120","1,421,302","5,500,000",80%,"374,900","299,920","15,000","1,750",,,,"3,500,442",125000,40000,25000,25000,100000,5000,,,,320000,"10,956,252"
